ProviderID,ProviderName,ProviderSpecialty,ProviderState,ProviderType
PRV00044,Provider Practice 044,Neurology,OH,Specialty Clinic
PRV00045,Provider Practice 045,Gastroenterology,NY,Hospital System
PRV00046,Provider Practice 046,Rheumatology,TX,Hospital System
PRV00047,Provider Practice 047,Rheumatology,MI,Hospital System
PRV00048,Provider Practice 048,Neurology,CA,Private Practice
PRV00049,Provider Practice 049,Gastroenterology,CA,Hospital System
PRV00050,Provider Practice 050,Rheumatology,VA,Hospital System
PRV00051,Provider Practice 051,Gastroenterology,NY,Private Practice
PRV00052,Provider Practice 052,Rheumatology,FL,Hospital System
PRV00053,Provider Practice 053,Rheumatology,IL,Hospital System
PRV00054,Provider Practice 054,Neurology,NC,Private Practice
PRV00055,Provider Practice 055,Neurology,NY,Hospital System
PRV00056,Provider Practice 056,Rheumatology,PA,Private Practice
PRV00057,Provider Practice 057,Dermatology,AZ,Private Practice
PRV00058,Provider Practice 058,Rheumatology,GA,Private Practice
PRV00059,Provider Practice 059,Neurology,IL,Hospital System
PRV00060,Provider Practice 060,Neurology,GA,Specialty Clinic
PRV00061,Provider Practice 061,Neurology,PA,Private Practice
PRV00062,Provider Practice 062,Gastroenterology,PA,Private Practice
PRV00063,Provider Practice 063,Gastroenterology,PA,Specialty Clinic
PRV00064,Provider Practice 064,Gastroenterology,AZ,Private Practice
PRV00065,Provider Practice 065,Gastroenterology,VA,Private Practice
PRV00066,Provider Practice 066,Rheumatology,NY,Private Practice
PRV00067,Provider Practice 067,Neurology,MI,Private Practice
PRV00068,Provider Practice 068,Rheumatology,WA,Specialty Clinic
PRV00069,Provider Practice 069,Rheumatology,MA,Specialty Clinic
PRV00070,Provider Practice 070,Neurology,NY,Specialty Clinic
PRV00071,Provider Practice 071,Rheumatology,PA,Hospital System
PRV00072,Provider Practice 072,Gastroenterology,OH,Hospital System
PRV00073,Provider Practice 073,Dermatology,GA,Private Practice
PRV00074,Provider Practice 074,Dermatology,GA,Hospital System
PRV00075,Provider Practice 075,Dermatology,IL,Hospital System
PRV00076,Provider Practice 076,Rheumatology,WA,Private Practice
PRV00077,Provider Practice 077,Gastroenterology,IL,Hospital System
PRV00078,Provider Practice 078,Neurology,NY,Specialty Clinic
PRV00079,Provider Practice 079,Neurology,IL,Hospital System
PRV00080,Provider Practice 080,Gastroenterology,NY,Specialty Clinic
PRV00081,Provider Practice 081,Dermatology,NC,Private Practice
PRV00082,Provider Practice 082,Neurology,PA,Specialty Clinic
PRV00083,Provider Practice 083,Neurology,NY,Hospital System
PRV00084,Provider Practice 084,Neurology,PA,Specialty Clinic
PRV00085,Provider Practice 085,Gastroenterology,MA,Private Practice
PRV00086,Provider Practice 086,Dermatology,AZ,Specialty Clinic
PRV00087,Provider Practice 087,Dermatology,CA,Hospital System
PRV00088,Provider Practice 088,Gastroenterology,PA,Private Practice
PRV00089,Provider Practice 089,Dermatology,TX,Hospital System
PRV00090,Provider Practice 090,Gastroenterology,FL,Private Practice
PRV00091,Provider Practice 091,Gastroenterology,NJ,Private Practice
PRV00092,Provider Practice 092,Gastroenterology,NC,Private Practice
PRV00093,Provider Practice 093,Rheumatology,FL,Private Practice
PRV00094,Provider Practice 094,Gastroenterology,GA,Specialty Clinic
PRV00095,Provider Practice 095,Dermatology,TX,Private Practice
PRV00096,Provider Practice 096,Neurology,GA,Private Practice
PRV00097,Provider Practice 097,Gastroenterology,GA,Hospital System
PRV00098,Provider Practice 098,Neurology,IL,Hospital System
PRV00099,Provider Practice 099,Dermatology,IL,Specialty Clinic
PRV00100,Provider Practice 100,Rheumatology,MA,Private Practice
PRV00101,Provider Practice 101,Dermatology,CA,Hospital System
PRV00102,Provider Practice 102,Dermatology,NY,Hospital System
PRV00103,Provider Practice 103,Rheumatology,OH,Private Practice
PRV00104,Provider Practice 104,Rheumatology,NJ,Private Practice
PRV00105,Provider Practice 105,Neurology,MA,Hospital System
PRV00106,Provider Practice 106,Neurology,MI,Hospital System
PRV00107,Provider Practice 107,Rheumatology,WA,Private Practice
PRV00108,Provider Practice 108,Rheumatology,TX,Hospital System
PRV00109,Provider Practice 109,Rheumatology,MI,Specialty Clinic
PRV00110,Provider Practice 110,Neurology,PA,Hospital System
PRV00111,Provider Practice 111,Neurology,WA,Hospital System
PRV00112,Provider Practice 112,Dermatology,GA,Specialty Clinic
PRV00113,Provider Practice 113,Gastroenterology,NJ,Private Practice
PRV00114,Provider Practice 114,Gastroenterology,NJ,Hospital System
PRV00115,Provider Practice 115,Dermatology,MI,Private Practice
PRV00116,Provider Practice 116,Gastroenterology,OH,Private Practice
PRV00117,Provider Practice 117,Gastroenterology,AZ,Hospital System
PRV00118,Provider Practice 118,Neurology,GA,Hospital System
PRV00119,Provider Practice 119,Neurology,WA,Specialty Clinic
PRV00120,Provider Practice 120,Rheumatology,GA,Hospital System
PRV00121,Provider Practice 121,Rheumatology,TX,Hospital System
PRV00122,Provider Practice 122,Dermatology,VA,Private Practice
PRV00123,Provider Practice 123,Gastroenterology,NY,Private Practice
PRV00124,Provider Practice 124,Rheumatology,NY,Hospital System
PRV00125,Provider Practice 125,Rheumatology,OH,Hospital System
PRV00126,Provider Practice 126,Rheumatology,MA,Private Practice
PRV00127,Provider Practice 127,Rheumatology,NJ,Hospital System
PRV00128,Provider Practice 128,Gastroenterology,FL,Private Practice
PRV00129,Provider Practice 129,Neurology,VA,Private Practice
PRV00130,Provider Practice 130,Gastroenterology,WA,Private Practice
PRV00131,Provider Practice 131,Rheumatology,IL,Private Practice
PRV00132,Provider Practice 132,Dermatology,IL,Hospital System
PRV00133,Provider Practice 133,Gastroenterology,NC,Hospital System
PRV00134,Provider Practice 134,Rheumatology,FL,Private Practice
PRV00135,Provider Practice 135,Rheumatology,FL,Private Practice
PRV00136,Provider Practice 136,Dermatology,AZ,Specialty Clinic
PRV00137,Provider Practice 137,Dermatology,FL,Private Practice
PRV00138,Provider Practice 138,Dermatology,FL,Hospital System
PRV00139,Provider Practice 139,Gastroenterology,PA,Specialty Clinic
PRV00140,Provider Practice 140,Dermatology,TX,Private Practice
PRV00141,Provider Practice 141,Neurology,NC,Hospital System
PRV00142,Provider Practice 142,Dermatology,IL,Private Practice
PRV00143,Provider Practice 143,Dermatology,MA,Hospital System
PRV00144,Provider Practice 144,Dermatology,NC,Specialty Clinic
PRV00145,Provider Practice 145,Rheumatology,GA,Private Practice
PRV00146,Provider Practice 146,Gastroenterology,CA,Hospital System
PRV00147,Provider Practice 147,Dermatology,PA,Private Practice
PRV00148,Provider Practice 148,Gastroenterology,TX,Specialty Clinic
PRV00149,Provider Practice 149,Dermatology,PA,Hospital System
PRV00150,Provider Practice 150,Gastroenterology,WA,Private Practice
